Assigned to,,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,z_par_median,z_k_median,z_par_q1,z_par_top1pc,z_kq5_cond_parq1,z_ktop1pc_cond_parq1,z_mr_kq5_pq1,z_mr_ktop1_pq1,z_trend_parq1,z_trend_bottom40,z_count,dis^2_to_1,dis^2_to_2,dis^2_to_3,dis^2_to_4,dis^2_to_5,min_dis^2
1,74,Midland College,Midland,TX,58600,35900,18.844025,0.30878383,25.685894,0.46976459,4.8402562,0.088522561,-8.3010788,-9.06709,768.6666667,-0.670880467,-0.078164587,0.717896857,-0.427861732,0.436911173,-0.190532838,2.292102219,0.331744537,-1.773692635,-1.130060483,-0.040682953,8.922525515,18.82573817,64.73754793,15.27199794,19.99852199,8.922525515
1,76,Imperial Valley College,Yuma,CA,34300,25800,35.884327,0.13814998,13.431496,0,4.8198018,0,-9.800499,-7.7659311,885.6666667,-1.524612007,-0.864377805,2.648953139,-0.487845969,-0.443931008,-0.413648433,2.276541129,-0.518847829,-2.10055714,-0.951032329,-0.035649342,8.537948924,40.80596612,97.3363918,26.84882147,28.27984403,8.537948924
1,77,Pasadena City College,Los Angeles,CA,44600,29500,27.937716,0.51477349,17.23407,0.42361161,4.814806,0.11834741,-7.3442655,-7.6677561,3321.333333,-1.16274226,-0.576359101,1.748420209,-0.355448593,-0.170603214,-0.212453285,2.272740475,0.618324463,-1.565113142,-0.937524302,0.069138688,6.650934247,27.36635413,74.19883058,19.62629178,21.35157324,6.650934247
1,79,El Paso Community College,El Paso,TX,29200,25700,40.920174,0.069665946,11.668072,0.17266117,4.7745953,0.070653252,-10.199104,-7.9576812,2837.666667,-1.703790232,-0.872162094,3.219629878,-0.511920692,-0.570685357,-0.331642679,2.242149388,0.160042571,-2.187450611,-0.977415476,0.048330226,10.80960522,45.51434695,99.21623646,32.52872554,32.95590561,10.80960522
1,80,Reid State Technical College,Atmore,AL,34600,17500,34.119484,0.10840176,13.939927,0.086672992,4.7562313,0.029572379,2.2708378,5.4882712,105,-1.514072112,-1.510473816,2.448956028,-0.498303591,-0.407385151,-0.372482929,2.228178612,-0.234693829,0.530921032,0.872630691,-0.069235432,8.152097739,40.54373041,90.41720199,25.27211274,18.67573802,8.152097739
1,81,Lamar Institute Of Technology,Beaumont,TX,52600,34400,24.282091,0.15602395,19.470011,0.20055349,4.7277255,0.048698582,-7.1755252,-3.9441895,437.3333333,-0.881678378,-0.194928926,1.334154216,-0.481562594,-0.009884495,-0.318395168,2.206492259,-0.050914665,-1.52832878,-0.425193907,-0.054937682,5.245337375,22.85596369,71.67280154,15.64791435,17.26030899,5.245337375
1,82,Odessa College,Midland,TX,50900,34800,20.727978,0.10583673,22.722612,1.1935855,4.709938,0.24740614,-4.4728661,-7.7280059,912.3333333,-0.941404453,-0.163791769,0.931391857,-0.499205296,0.223911417,0.153247294,2.192960066,1.858419297,-0.939165496,-0.945814151,-0.03450208,10.73106541,19.50433478,56.13366951,19.28096677,20.46912605,10.73106541
1,83,Robert Morgan And Miami Lakes Educational Centers,Miami,FL,32200,23000,35.539444,0.069012508,13.001621,0.003262362,4.6207042,0.001159425,-8.0133219,-7.2422571,175.3333333,-1.598391276,-1.082337905,2.60987,-0.5121504,-0.474830284,-0.412098968,2.125073685,-0.507707189,-1.710963377,-0.878979339,-0.066209529,6.994115996,40.06983812,96.65198891,25.02221384,25.39689163,6.994115996
1,84,Grambling State University,Ruston,LA,34300,30500,34.357506,0,13.437594,0.23359163,4.6168222,0.080256253,-9.4198704,-4.8968821,815.6666667,-1.524612007,-0.498516208,2.475929369,-0.536410901,-0.443492686,-0.302703639,2.122120376,0.252315538,-2.017582415,-0.556276127,-0.038660904,7.047882304,35.49626949,86.5545905,25.17587339,25.33768718,7.047882304
1,85,Miami Dade Community College System,Miami,FL,37000,31300,31.510422,0.37243202,14.626253,0.17387097,4.6087937,0.054787472,-3.9628954,-3.5843372,7259.333333,-1.429752947,-0.436241894,2.15328958,-0.405486991,-0.35805226,-0.331068082,2.116012536,0.00759204,-0.827994978,-0.375681358,0.238560581,4.691700879,29.64349621,79.60487152,19.71453638,18.03184952,4.691700879
